구분,요일,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,평균
월,평일,35622,35581,36268,36964,36349,36946,36559,36239,36169,36523,35052,34673,36079
,휴일,37818,38379,38533,38806,36879,38564,38292,38286,39791,39237,37670,37167,38285
화,평일,36251,36831,37614,36808,37079,37116,35384,36108,36257,36924,36046,35512,36494
,휴일,38442,39409,39654,38935,39000,39664,37948,38665,39376,39407,39033,38089,38969
수,평일,36352,37354,37806,37420,37658,36798,36799,36256,36302,36782,36987,35765,36857
,휴일,37910,38986,39561,39056,39216,39000,39103,39145,39220,39391,39009,38306,38992
목,평일,36266,37304,37447,37380,37915,37442,37311,36487,37128,37689,36668,35508,37045
,휴일,37789,39734,39588,39482,39835,38616,39463,38386,40332,39637,39198,38379,39203
금,평일,36016,37734,38460,38492,38541,37915,37377,36901,37696,37798,36911,36637,37540
,휴일,38194,39855,40318,40383,40026,39703,39359,39318,40914,40269,39451,38551,39695
토,평일,35999,36260,37259,36980,36101,37717,36929,36895,36869,36893,35713,34003,36418
,휴일,36571,37715,37761,37640,36965,37707,36982,37662,37947,37854,37393,35118,37276
일,평일,28659,32795,33334,33746,33701,33893,33486,33495,30869,32002,32507,30723,32434
,휴일,27313,32004,31389,31867,31474,31307,30955,31396,29822,29925,32594,28454,30708
출퇴근교통량,평일,36099,36958,37556,37409,37446,37292,36679,36397,36678,37169,36375,35716,36815
,휴일,38029,39271,39567,39329,38951,39085,38762,38759,39891,39605,38890,38165,39025
출퇴근교통량,평일,30496,34527,35079,35363,34245,35591,35207,35003,32394,33630,34108,32184,34050
(1일평균),휴일,29839,34856,34220,34759,33125,34151,33949,34179,32739,32566,34992,31486,33405